State,Name,Year,% of energy from renewables,,,,,,,,,,
NSW,New South Wales,2008,3.093662032,,,,,,,,,,
NSW,New South Wales,2009,5.336395026,,,,,,,,,,
NSW,New South Wales,2010,5.925314363,,,,,,,,,,
NSW,New South Wales,2011,6.67007498,,,,,,,,,,
NSW,New South Wales,2012,8.571102986,,,,,,,,,,
NSW,New South Wales,2013,8.176741109,,,,,,,,,,
NSW,New South Wales,2014,8.66262298,,,,,,,,,,
NSW,New South Wales,2015,11.69112839,,,,,,,,,,
NSW,New South Wales,2016,12.52911412,,,,,,,,,,
NSW,New South Wales,2017,13.38447125,,,,,,,,,,
NSW,New South Wales,2018,15.57134185,,,,,,,,,,
NSW,New South Wales,2019,18.96794199,,,,,,,,,,
VIC,Victoria,2008,5.504081926,,,,,,,,,,
VIC,Victoria,2009,6.567604912,,,,,,,,,,
VIC,Victoria,2010,10.08597643,,,,,,,,,,
VIC,Victoria,2011,8.664720619,,,,,,,,,,
VIC,Victoria,2012,12.15930809,,,,,,,,,,
VIC,Victoria,2013,12.76790475,,,,,,,,,,
VIC,Victoria,2014,12.30160718,,,,,,,,,,
VIC,Victoria,2015,14.82009712,,,,,,,,,,
VIC,Victoria,2016,16.51911996,,,,,,,,,,
VIC,Victoria,2017,18.90022429,,,,,,,,,,
VIC,Victoria,2018,21.89510664,,,,,,,,,,
VIC,Victoria,2019,24.52468612,,,,,,,,,,
QLD,Queensland,2008,3.884591417,,,,,,,,,,
QLD,Queensland,2009,3.47606583,,,,,,,,,,
QLD,Queensland,2010,3.606198792,,,,,,,,,,
QLD,Queensland,2011,4.140303931,,,,,,,,,,
QLD,Queensland,2012,5.207971082,,,,,,,,,,
QLD,Queensland,2013,6.292108469,,,,,,,,,,
QLD,Queensland,2014,6.044814126,,,,,,,,,,
QLD,Queensland,2015,6.46307666,,,,,,,,,,
QLD,Queensland,2016,6.497350661,,,,,,,,,,
QLD,Queensland,2017,7.053662645,,,,,,,,,,
QLD,Queensland,2018,10.77080949,,,,,,,,,,
QLD,Queensland,2019,14.4166371,,,,,,,,,,
WA,Western Australia,2008,2.933824829,,,,,,,,,,
WA,Western Australia,2009,2.920727565,,,,,,,,,,
WA,Western Australia,2010,3.22164545,,,,,,,,,,
WA,Western Australia,2011,5.373827436,,,,,,,,,,
WA,Western Australia,2012,6.133248383,,,,,,,,,,
WA,Western Australia,2013,6.619995476,,,,,,,,,,
WA,Western Australia,2014,6.940396543,,,,,,,,,,
WA,Western Australia,2015,6.652978391,,,,,,,,,,
WA,Western Australia,2016,7.462510507,,,,,,,,,,
WA,Western Australia,2017,7.749002845,,,,,,,,,,
WA,Western Australia,2018,8.973118958,,,,,,,,,,
WA,Western Australia,2019,10.25559528,,,,,,,,,,
SA,South Australia,2008,14.4241949,,,,,,,,,,
SA,South Australia,2009,15.35065064,,,,,,,,,,
SA,South Australia,2010,21.8552359,,,,,,,,,,
SA,South Australia,2011,26.84561015,,,,,,,,,,
SA,South Australia,2012,29.48539016,,,,,,,,,,
SA,South Australia,2013,37.47315637,,,,,,,,,,
SA,South Australia,2014,39.85443001,,,,,,,,,,
SA,South Australia,2015,41.25040503,,,,,,,,,,
SA,South Australia,2016,46.96276501,,,,,,,,,,
SA,South Australia,2017,46.80099268,,,,,,,,,,
SA,South Australia,2018,50.40115121,,,,,,,,,,
SA,South Australia,2019,54.96239182,,,,,,,,,,
TAS,Tasmania,2008,91.04592193,,,,,,,,,,
TAS,Tasmania,2009,88.18049287,,,,,,,,,,
TAS,Tasmania,2010,86.17219756,,,,,,,,,,
TAS,Tasmania,2011,84.71166615,,,,,,,,,,
TAS,Tasmania,2012,86.3477015,,,,,,,,,,
TAS,Tasmania,2013,92.82329256,,,,,,,,,,
TAS,Tasmania,2014,98.44311345,,,,,,,,,,
TAS,Tasmania,2015,90.83282162,,,,,,,,,,
TAS,Tasmania,2016,91.32937292,,,,,,,,,,
TAS,Tasmania,2017,91.44589663,,,,,,,,,,
TAS,Tasmania,2018,94.58318256,,,,,,,,,,
TAS,Tasmania,2019,98.13920852,,,,,,,,,,
NT,Northern Territory,2008,0.331918971,,,,,,,,,,
NT,Northern Territory,2009,0.41327374,,,,,,,,,,
NT,Northern Territory,2010,0.46264842,,,,,,,,,,
NT,Northern Territory,2011,0.552802135,,,,,,,,,,
NT,Northern Territory,2012,0.706010138,,,,,,,,,,
NT,Northern Territory,2013,0.961245768,,,,,,,,,,
NT,Northern Territory,2014,1.478276305,,,,,,,,,,
NT,Northern Territory,2015,1.912919595,,,,,,,,,,
NT,Northern Territory,2016,2.91960554,,,,,,,,,,
NT,Northern Territory,2017,3.558160691,,,,,,,,,,
NT,Northern Territory,2018,3.574172806,,,,,,,,,,
NT,Northern Territory,2019,4.204011128,,,,,,,,,,