Country,Year,%Renewable Energy,CO2 Produced,Population,Continent
Algeria,2019,0.273,171.707,43851043,Africa
Argentina,2019,13.556,178.94,45195777,South America
Australia,2019,8.567,411.016,25499881,Oceania
Austria,2019,33.702,68.495,9006400,Europe
Azerbaijan,2019,2.48,39.82,10139175,Europe
Bangladesh,2019,0.637,102.162,164689383,Asia
Belarus,2019,0.56,62.484,9449321,Europe
Belgium,2019,6.937,99.709,11589616,Europe
Brazil,2019,45.017,465.716,212559409,South America
Bulgaria,2019,9.203,42.006,6948445,Europe
Canada,2019,27.638,576.651,37742157,North America
Chile,2019,22.851,84.267,19116209,South America
China,2019,12.665,10174.681,1439323774,Asia
Colombia,2019,24.986,102.202,50882884,South America
Croatia,2019,21.537,17.882,4105268,Europe
Cyprus,2019,3.926,7.316,875899,Europe
Czechia,2019,5.183,101.01,10708982,Europe
Denmark,2019,30.163,32.075,5792203,Europe
Ecuador,2019,30.387,40.54,17643060,South America
Egypt,2019,4.556,246.643,102334403,Africa
Estonia,2019,7.296,13.888,1326539,Europe
Finland,2019,26.148,41.653,5540718,Europe
France,2019,11.733,323.747,65273512,Europe
Germany,2019,17.485,701.955,83783945,Europe
Greece,2019,12.112,67.184,10423056,Europe
Hungary,2019,4.017,49.101,9660350,Europe
Iceland,2019,79.08,3.322,341250,Europe
India,2019,7.781,2616.449,1380004385,Asia
Indonesia,2019,6.09,617.513,273523621,Asia
Iran,2019,2.132,779.527,83992953,Asia
Iraq,2019,1.015,221.384,40222503,Asia
Ireland,2019,15.45,37.118,4937796,Europe
Israel,2019,2.302,64.172,8655541,Asia
Italy,2019,16.29,337.086,60461828,Europe
Japan,2019,9.313,1106.664,126476458,Asia
Kazakhstan,2019,3.1,313.798,18776707,Asia
Kuwait,2019,0.087,107.532,4270563,Asia
Latvia,2019,18.18,8.262,1886202,Europe
Lithuania,2019,8.88,13.483,2722291,Europe
Luxembourg,2019,4.061,9.785,625976,Europe
Malaysia,2019,6.009,250.095,32365998,Asia
Mexico,2019,7.219,438.498,128932753,North America
Morocco,2019,7.086,71.929,36910558,Africa
Netherlands,2019,6.54,154.827,17134873,Europe
New Zealand,2019,35.4,36.541,4822233,Oceania
North Macedonia,2019,10.707,8.041,2083380,Europe
Norway,2019,66.18,42.441,5421242,Europe
Oman,2019,0.002,71.685,5106622,Asia
Pakistan,2019,10.638,248.844,220892331,Asia
Peru,2019,27.329,54.533,32971846,South America
Philippines,2019,10.542,144.263,109581085,Asia
Poland,2019,6.182,322.626,37846605,Europe
Portugal,2019,24.454,48.598,10196707,Europe
Qatar,2019,0.054,109.345,2881060,Asia
Romania,2019,15.902,75.084,19237682,Europe
Russia,2019,5.868,1678.367,145934460,Europe
Saudi Arabia,2019,0.144,582.15,34813867,Asia
Singapore,2019,0.239,38.945,5850343,Asia
Slovakia,2019,8.344,33.315,5459643,Europe
Slovenia,2019,15.738,13.696,2078932,Europe
South Africa,2019,2.21,478.608,59308690,Africa
Spain,2019,16.968,252.683,46754783,Europe
Sri Lanka,2019,14.052,24.841,21413250,Asia
Sweden,2019,42.237,42.767,10099270,Europe
Switzerland,2019,30.642,37.682,8654618,Europe
Taiwan,2019,2.51,262.639,23816775,Asia
Thailand,2019,6.185,288.28,69799978,Asia
Trinidad and Tobago,2019,0.006,37.864,1399491,North America
Turkey,2019,18.473,405.126,84339067,Asia
Ukraine,2019,3.107,223.229,43733759,Europe
United Arab Emirates,2019,0.771,190.683,9890400,Asia
United Kingdom,2019,14.454,369.878,67886004,Europe
United States,2019,8.712,5284.697,331002647,North America
Uzbekistan,2019,3.25,110.246,33469199,Asia
Venezuela,2019,25.391,116.688,28435943,South America
Vietnam,2019,15.216,247.709,97338583,Asia